param,Mean,Median,St.Dev.,95%CI_low,95%CI_upp
beta4[7],-0.3423325230673957,-0.3237136571887863,0.4177177003804295,-1.1740015041494927,0.4435854479009615
beta4[8],1.0450112174693498,0.7034263752707618,0.9213250556275142,-0.1735128083831934,3.0782416032792894
beta4[9],1.3603127967791775,0.8659809972591814,1.1378815468984034,0.2727117534052492,3.9067285665262004
beta4[10],1.1502091096354106,0.40272868674910667,1.6151157505321996,-0.2797414004525778,4.494434474887536
beta4[11],-0.3698919263409215,-0.25821785223427984,0.4258345183132621,-1.3363744058397218,0.2562971389515474
beta4[12],0.8949355247771591,0.6218467283962925,0.8234494625791641,-0.04613296340215516,3.033912935107361
beta4[13],-0.25754143969460386,-0.28618287163137873,0.3699587445407637,-1.0142537786246715,0.49028777380156713
beta4[14],0.9178432310618398,0.2969370903210397,1.3289482684548677,-0.32572928508441124,3.774368981547857
beta4[15],-0.6951313603517273,-0.68564783818024,0.5400799972064856,-1.8347248605257735,0.1768292823154862
beta4[16],0.9522269007303689,0.6329729832495264,0.9080923817029247,-0.046050359084585844,3.2178095600046093
beta4[17],-0.6310858951169369,-0.425020826619488,0.5778434902358683,-1.9267607040724966,0.049285126562621094
beta4[18],0.5859370964595753,0.45283252476445035,0.7085253766942918,-0.38207007466926646,2.2417663089220095
beta4[19],-0.16988564978819554,-0.2784517779756519,0.5776720845237456,-0.9703615726798015,1.1214013779425565
beta4[20],-0.6847107193013934,-0.7348746857874086,0.39188082000807684,-1.2813088071441292,0.19922935370137396
beta4[21],0.46829888307826173,0.2784985447895849,0.6757003879896333,-0.22924492455215198,2.1282375045381676
beta4[22],1.0109758872819528,0.6961090126728059,0.8719971522570883,0.06253754560973826,3.0861360377663645
beta4[23],1.2251585288616034,0.5381316159051309,1.4536669041072088,0.005835927753405294,4.432199414006247
beta4[24],0.479951910831307,0.15221790990394746,0.9492933911642129,-0.4848428516823239,2.8251528759162556
beta4[25],0.710063843785441,0.5216332447989857,0.7701001308009733,-0.1970849462763069,2.8814889723230976
beta4[26],-0.6440860961848903,-0.6416598966089107,0.42359629015887806,-1.4042053071896388,0.22775621845175303
beta4[27],-1.0240165758691249,-0.8209179826199426,0.7414659863912735,-2.659269093875287,-0.14768609814008316
beta4[28],1.151604860566345,0.34107172232991445,1.6502005303475762,-0.25369792687503,4.770651602134603
beta4[29],-0.38524752684670827,-0.08175663375838471,0.8054328338094722,-2.0691745211981813,0.6117543081071183
beta4[30],-0.8436953912892714,-0.4891685549520153,0.9571358030154495,-3.0517004534627525,0.2384901387187522
beta4[31],-0.26043547041561865,-0.15716509807564025,0.4457927690424194,-1.2145092346401067,0.5438219526740861
beta4[32],-0.07089809973555321,0.14551288671723328,0.6820992151262751,-1.4544297686638052,0.8613186714620604
beta4[33],0.597742063931579,0.5458556285920415,0.5995092686402248,-0.3487695528029403,1.9565986898075989
beta4[34],-0.05081359295526113,0.013641135831712392,0.487100023928469,-1.0761593065984287,0.9009568655652742
beta4[35],-0.650133131733659,-0.5153574267041185,0.5110042238033468,-1.7717369846595128,0.03736035304096764
beta4[36],-0.14127222794485184,-0.15167612655487533,0.32207479151970464,-0.7556838238311788,0.5688580516544298
beta4[37],1.2597884787138784,0.7849056272283221,1.1655624137708176,0.14246664488750685,3.9039192960649145
beta4[38],0.4399433419809191,0.24338419694627622,0.6825641921264332,-0.29979369515191223,2.3441378556249632
beta4[39],1.8192314139620835,0.7938034230477655,2.0069474931728473,0.2124919238436047,5.82684951830231
beta4[40],1.0327857935399052,0.424680276886496,1.295172962589435,-0.11958883984610191,4.033486571823402
beta4[41],0.2706610649014337,0.2609736490433606,0.46416015118441956,-0.7241385077098894,1.5730807480563147
beta4[42],-0.8300819711341958,-0.7453836201728948,0.5564688085816779,-1.9845970390406147,0.10271624192715939
beta4[43],-0.35010791517294704,-0.3212345286354673,0.48759387207317856,-1.352042078920934,0.4202991171410107
beta4[44],0.9237606672118551,0.19023031151159306,1.4815555222086279,-0.41865581624711096,4.195588290795841
beta4[45],-0.6299285128194313,-0.6337903796899705,0.44119482139487803,-1.4649322689657507,0.08393654362948981
beta4[46],1.1285983510571982,0.7581198132740383,1.0629770989009972,-0.14454407059779004,3.5841722418162454
beta4[47],-0.35665028664727555,-0.26192554624157827,0.4137478185042024,-1.1909345010418237,0.23016759896654201
beta4[48],0.6276251732582927,0.2829279575887342,1.0384034072117765,-0.35520609901063405,3.168044499564175
beta4[49],0.15556964579392296,0.2509291944290604,0.4409611637080508,-0.8767599975048678,0.7524126296757824
beta4[50],0.3518686802371619,0.1909506111300764,0.6031937580147494,-0.46455313144043947,1.9785103386521254
beta4[51],-0.42258591034572945,-0.40510766733167547,0.3895707093837357,-1.117398333137617,0.32757832608984583
beta4[52],1.302057465194419,0.7585272779239509,1.2556679558806174,0.17254554081854817,4.541153433752786
beta4[53],-0.4655840168904752,-0.42084198200864215,0.5220007176790173,-1.5988898788960428,0.5545867277145925
beta4[54],-0.9749379498548997,-0.8832659804802651,0.5467453498361704,-2.25617302561157,-0.08024581846967369
beta4[55],-0.577270542910307,-0.4682956584741797,0.48035824773815533,-1.7259383400520631,0.11470654932290572
beta4[56],-0.4298534733938815,-0.38019067494825287,0.38415904927238903,-1.1969041682315003,0.23165483049366575
beta4[57],0.7257571669213047,0.42981551245456306,0.8420823822354153,-0.21965207867332578,2.6713044623544353
beta4[58],0.9041331951901656,0.3510754439792721,1.3694181398468463,-0.6127205339748315,3.9365850052980806
beta4[59],-0.2611053801180379,-0.2696074936660009,0.3542522329585299,-0.9305951867905413,0.3666965692517569
beta4[60],-0.9565605596041163,-0.8347446168168479,0.5548476155829267,-2.184519445211877,-0.07485943952664019
beta4[61],-0.028310465675000125,-0.006424263256196411,0.3802931604675342,-0.9223250678329009,0.62781987995492194
beta4[62],-1.0320103684266462,-0.9190895400648615,0.48983852846409204,-2.1496873139484354,-0.2823208783073185
beta4[63],-0.34902588794209194,-0.29168573915676066,0.48103348462170437,-1.3835223962601317,0.4703863873943306
beta4[64],0.5852021415231864,0.4780732412757398,0.6225018277807786,-0.1725666526610659,2.1924728681843164
beta4[65],0.615215147962533,0.4351624188730784,0.715691993793611,-0.20132892852358858,2.7064134196892478
beta4[66],0.07939227707519497,0.16443794385820437,0.4962073854018465,-0.9121698574680737,0.8038290215245161
beta4[67],-0.5936239639298303,-0.49230086028116676,0.5428876853540802,-1.6691072964437152,0.19154155984964769
beta4[68],-0.5366176832348171,-0.353645020731453,0.5617290325108495,-1.6500031319056023,0.2639498441156526
lam.est.sp[1],0.005164716386357973,0.004654990554293244,0.0010160352412036,0.0043804771934672394,0.00753774096632272
lam.est.sp[2],0.0053499996194172235,0.004951324113011222,9.447207819577927e-4,0.0044972853696915276,0.007548527333473492
lam.est.sp[3],0.005269323059859635,0.004936933406828522,8.884187058410221e-4,0.004407729572265024,0.007129269233644354
lam.est.sp[4],0.005361360619293448,0.004871791571192672,0.001001861904651373,0.0044823426246143674,0.007603438079541664
lam.est.sp[5],0.005247617918031806,0.0048178977183019,0.0010000969525466854,0.004469882211721031,0.007674069662085765
lam.est.sp[6],0.005280057123480247,0.0048211346257822614,9.67452993972083e-4,0.004549562232390035,0.007360197367249587
lam.est.sp[7],0.005187738750777344,0.004850914794622935,8.893964788370293e-4,0.004479514499972329,0.007475789951360756
lam.est.sp[8],0.0051301426887977765,0.004746060797040207,9.293274707895671e-4,0.004248502736300342,0.007215299892957716
lam.est.sp[9],0.005276964904351999,0.004903069665067853,9.61839501205596e-4,0.004471608373142711,0.007598922978321014
lam.est.sp[10],0.005311868472848701,0.004870216656307572,9.511481418094032e-4,0.004514273547980419,0.007510322550885499
lam.est.sp[11],0.005277918372303696,0.004695291593468824,0.0010858312288889952,0.004424356639226593,0.007812000914439445
lam.est.sp[12],0.00530907094849923,0.0048870365543611325,9.751014492429072e-4,0.004352144208477104,0.0075355145155178325
lam.est.sp[13],0.005179420330431565,0.004697377314524345,9.347187917123477e-4,0.004366290434654577,0.00738360047176696
lam.est.sp[14],0.005215715647990956,0.004807173470800475,8.912134419691075e-4,0.004449079717041357,0.007150344865802466
lam.est.sp[15],0.00526909889925857,0.004985954540011747,8.987521962511732e-4,0.004304154365685763,0.007103971932627152
lam.est.sp[16],0.005433589256945015,0.004977560143612369,0.0011426251593944809,0.004454822601513631,0.00807324837306446
